"scaff" "geneID" "CHROM"
"1" "ScA8VGg_100;HRSCAF=169" "LOC110178064" "NA"
"1014" "ScA8VGg_542;HRSCAF=776" "LOC110187518" "2L"
"1015" "ScA8VGg_542;HRSCAF=776" "LOC110187496" "2L"
"1016" "ScA8VGg_542;HRSCAF=776" "LOC110187510" "2L"
"1017" "ScA8VGg_542;HRSCAF=776" "LOC110187509" "2L"
"1018" "ScA8VGg_542;HRSCAF=776" "LOC110187521" "2L"
"1019" "ScA8VGg_542;HRSCAF=776" "LOC110187533" "2L"
"1020" "ScA8VGg_542;HRSCAF=776" "LOC110187493" "2L"
"1021" "ScA8VGg_542;HRSCAF=776" "LOC110187492" "2L"
"1022" "ScA8VGg_542;HRSCAF=776" "LOC110187499" "2L"
"1023" "ScA8VGg_542;HRSCAF=776" "LOC110187500" "2L"
"1024" "ScA8VGg_542;HRSCAF=776" "LOC110187535" "2L"
"1025" "ScA8VGg_542;HRSCAF=776" "LOC110187534" "2L"
"1026" "ScA8VGg_542;HRSCAF=776" "LOC110187520" "2L"
"1027" "ScA8VGg_542;HRSCAF=776" "LOC110187513" "2L"
"1028" "ScA8VGg_542;HRSCAF=776" "LOC110187512" "2L"
"1029" "ScA8VGg_542;HRSCAF=776" "LOC110187504" "2L"
"1030" "ScA8VGg_542;HRSCAF=776" "LOC110187516" "2L"
"1031" "ScA8VGg_542;HRSCAF=776" "LOC110187517" "2L"
"1032" "ScA8VGg_542;HRSCAF=776" "LOC110187515" "2L"
"1033" "ScA8VGg_542;HRSCAF=776" "LOC110187506" "2L"
"1034" "ScA8VGg_542;HRSCAF=776" "LOC110187495" "2L"
"1035" "ScA8VGg_542;HRSCAF=776" "LOC110187505" "2L"
"1036" "ScA8VGg_542;HRSCAF=776" "LOC110187519" "2L"
"1037" "ScA8VGg_542;HRSCAF=776" "LOC110179881" "2L"
"1038" "ScA8VGg_542;HRSCAF=776" "LOC110179880" "2L"
"1039" "ScA8VGg_542;HRSCAF=776" "LOC110179882" "2L"
"1040" "ScA8VGg_542;HRSCAF=776" "LOC110187490" "2L"
"1041" "ScA8VGg_542;HRSCAF=776" "LOC110187488" "2L"
"1042" "ScA8VGg_542;HRSCAF=776" "LOC110179888" "2L"
"1043" "ScA8VGg_542;HRSCAF=776" "LOC110179886" "2L"
"1044" "ScA8VGg_542;HRSCAF=776" "LOC110179884" "2L"
"1045" "ScA8VGg_542;HRSCAF=776" "LOC110179885" "2L"
"1046" "ScA8VGg_542;HRSCAF=776" "LOC110179889" "2L"
"1047" "ScA8VGg_542;HRSCAF=776" "LOC110179883" "2L"
"1048" "ScA8VGg_542;HRSCAF=776" "LOC110187472" "2L"
"1049" "ScA8VGg_542;HRSCAF=776" "LOC110187468" "2L"
"1050" "ScA8VGg_542;HRSCAF=776" "LOC110187464" "2L"
"1051" "ScA8VGg_542;HRSCAF=776" "LOC110187467" "2L"
"1052" "ScA8VGg_542;HRSCAF=776" "LOC110187478" "2L"
"1053" "ScA8VGg_542;HRSCAF=776" "LOC110187483" "2L"
"1054" "ScA8VGg_542;HRSCAF=776" "LOC110187482" "2L"
"1055" "ScA8VGg_542;HRSCAF=776" "LOC110187471" "2L"
"1056" "ScA8VGg_542;HRSCAF=776" "LOC110187473" "2L"
"1057" "ScA8VGg_542;HRSCAF=776" "LOC110187470" "2L"
"1058" "ScA8VGg_542;HRSCAF=776" "LOC110187481" "2L"
"1059" "ScA8VGg_542;HRSCAF=776" "LOC110187480" "2L"
"1060" "ScA8VGg_542;HRSCAF=776" "LOC110187475" "2L"
"1061" "ScA8VGg_542;HRSCAF=776" "LOC110187474" "2L"
"1062" "ScA8VGg_542;HRSCAF=776" "LOC110187479" "2L"
"1063" "ScA8VGg_542;HRSCAF=776" "LOC110187476" "2L"
"1064" "ScA8VGg_542;HRSCAF=776" "LOC110187486" "2L"
"1065" "ScA8VGg_542;HRSCAF=776" "LOC110187484" "2L"
"1066" "ScA8VGg_542;HRSCAF=776" "LOC110187452" "2L"
"1067" "ScA8VGg_542;HRSCAF=776" "LOC110187463" "2L"
"1068" "ScA8VGg_542;HRSCAF=776" "LOC110187453" "2L"
"1069" "ScA8VGg_542;HRSCAF=776" "LOC110187462" "2L"
"1070" "ScA8VGg_542;HRSCAF=776" "LOC110187454" "2L"
"1071" "ScA8VGg_542;HRSCAF=776" "LOC110187458" "2L"
"1072" "ScA8VGg_542;HRSCAF=776" "LOC110187461" "2L"
"1073" "ScA8VGg_542;HRSCAF=776" "LOC110187459" "2L"
"1074" "ScA8VGg_542;HRSCAF=776" "LOC110187460" "2L"
"1075" "ScA8VGg_542;HRSCAF=776" "LOC110187456" "2L"
"1076" "ScA8VGg_542;HRSCAF=776" "LOC110179898" "2L"
"1077" "ScA8VGg_542;HRSCAF=776" "LOC110179891" "2L"
"1078" "ScA8VGg_542;HRSCAF=776" "LOC110179897" "2L"
"1079" "ScA8VGg_542;HRSCAF=776" "LOC110179894" "2L"
"1080" "ScA8VGg_542;HRSCAF=776" "LOC110187431" "2L"
"1081" "ScA8VGg_542;HRSCAF=776" "LOC110187432" "2L"
"1082" "ScA8VGg_542;HRSCAF=776" "LOC110187425" "2L"
"1083" "ScA8VGg_542;HRSCAF=776" "LOC110187446" "2L"
"1084" "ScA8VGg_542;HRSCAF=776" "LOC110187451" "2L"
"1085" "ScA8VGg_542;HRSCAF=776" "LOC110187442" "2L"
"1086" "ScA8VGg_542;HRSCAF=776" "LOC110187443" "2L"
"1087" "ScA8VGg_542;HRSCAF=776" "LOC110187444" "2L"
"1088" "ScA8VGg_542;HRSCAF=776" "LOC110187424" "2L"
"1089" "ScA8VGg_542;HRSCAF=776" "LOC110187423" "2L"
"1090" "ScA8VGg_542;HRSCAF=776" "LOC110187422" "2L"
"1091" "ScA8VGg_542;HRSCAF=776" "LOC110187421" "2L"
"1092" "ScA8VGg_542;HRSCAF=776" "LOC110187420" "2L"
"1093" "ScA8VGg_542;HRSCAF=776" "LOC110187448" "2L"
"1094" "ScA8VGg_542;HRSCAF=776" "LOC110187450" "2L"
"1095" "ScA8VGg_542;HRSCAF=776" "LOC110187449" "2L"
"1096" "ScA8VGg_542;HRSCAF=776" "LOC110187447" "2L"
"1097" "ScA8VGg_542;HRSCAF=776" "LOC110187430" "2L"
"1098" "ScA8VGg_542;HRSCAF=776" "LOC110187429" "2L"
"1099" "ScA8VGg_542;HRSCAF=776" "LOC110187437" "2L"
"1100" "ScA8VGg_542;HRSCAF=776" "LOC110187405" "2L"
"1101" "ScA8VGg_542;HRSCAF=776" "LOC110187441" "2L"
"1102" "ScA8VGg_542;HRSCAF=776" "LOC110187434" "2L"
"1103" "ScA8VGg_542;HRSCAF=776" "LOC110187436" "2L"
"1104" "ScA8VGg_542;HRSCAF=776" "LOC110187419" "2L"
"1105" "ScA8VGg_542;HRSCAF=776" "LOC110187435" "2L"
"1106" "ScA8VGg_542;HRSCAF=776" "LOC110187406" "2L"
"1107" "ScA8VGg_542;HRSCAF=776" "LOC110187433" "2L"
"1108" "ScA8VGg_542;HRSCAF=776" "LOC110187417" "2L"
"1109" "ScA8VGg_542;HRSCAF=776" "LOC110187407" "2L"
"1110" "ScA8VGg_542;HRSCAF=776" "LOC110187410" "2L"
"1111" "ScA8VGg_542;HRSCAF=776" "LOC110187409" "2L"
"1112" "ScA8VGg_542;HRSCAF=776" "LOC110187416" "2L"
"1113" "ScA8VGg_542;HRSCAF=776" "LOC110187413" "2L"
"1114" "ScA8VGg_542;HRSCAF=776" "LOC110187408" "2L"
"1115" "ScA8VGg_542;HRSCAF=776" "LOC110187418" "2L"
"1116" "ScA8VGg_542;HRSCAF=776" "LOC110187412" "2L"
"1117" "ScA8VGg_542;HRSCAF=776" "LOC110187415" "2L"
"1118" "ScA8VGg_542;HRSCAF=776" "LOC110187414" "2L"
"1119" "ScA8VGg_542;HRSCAF=776" "LOC110187426" "2L"
"1120" "ScA8VGg_542;HRSCAF=776" "LOC110187386" "2L"
"1121" "ScA8VGg_542;HRSCAF=776" "LOC110187387" "2L"
"1122" "ScA8VGg_542;HRSCAF=776" "LOC110187394" "2L"
"1123" "ScA8VGg_542;HRSCAF=776" "LOC110187383" "2L"
"1124" "ScA8VGg_542;HRSCAF=776" "LOC110187384" "2L"
"1125" "ScA8VGg_542;HRSCAF=776" "LOC110187392" "2L"
"1126" "ScA8VGg_542;HRSCAF=776" "LOC110187391" "2L"
"1127" "ScA8VGg_542;HRSCAF=776" "LOC110187381" "2L"
"1128" "ScA8VGg_542;HRSCAF=776" "LOC110187385" "2L"
"1129" "ScA8VGg_542;HRSCAF=776" "LOC110187382" "2L"
"1130" "ScA8VGg_542;HRSCAF=776" "LOC110187393" "2L"
"1131" "ScA8VGg_542;HRSCAF=776" "LOC110187390" "2L"
"1132" "ScA8VGg_542;HRSCAF=776" "LOC110187397" "2L"
"1133" "ScA8VGg_542;HRSCAF=776" "LOC110187398" "2L"
"1134" "ScA8VGg_542;HRSCAF=776" "LOC110187400" "2L"
"1135" "ScA8VGg_542;HRSCAF=776" "LOC110187401" "2L"
"1136" "ScA8VGg_542;HRSCAF=776" "LOC110177656" "2L"
"1137" "ScA8VGg_542;HRSCAF=776" "LOC110177654" "2L"
"1138" "ScA8VGg_542;HRSCAF=776" "LOC110177657" "2L"
"1139" "ScA8VGg_542;HRSCAF=776" "LOC110177658" "2L"
"1140" "ScA8VGg_542;HRSCAF=776" "LOC110177660" "2L"
"1141" "ScA8VGg_542;HRSCAF=776" "LOC110187374" "2L"
"1142" "ScA8VGg_542;HRSCAF=776" "LOC110187375" "2L"
"1143" "ScA8VGg_542;HRSCAF=776" "LOC110187377" "2L"
"1144" "ScA8VGg_542;HRSCAF=776" "LOC110187376" "2L"
"1145" "ScA8VGg_542;HRSCAF=776" "LOC110187380" "2L"
"1146" "ScA8VGg_542;HRSCAF=776" "LOC110177648" "2L"
"1147" "ScA8VGg_542;HRSCAF=776" "LOC110177647" "2L"
"1148" "ScA8VGg_542;HRSCAF=776" "LOC110187363" "2L"
"1149" "ScA8VGg_542;HRSCAF=776" "LOC110187364" "2L"
"1150" "ScA8VGg_542;HRSCAF=776" "LOC110187348" "2L"
"1151" "ScA8VGg_542;HRSCAF=776" "LOC110187338" "2L"
"1152" "ScA8VGg_542;HRSCAF=776" "LOC110187339" "2L"
"1153" "ScA8VGg_542;HRSCAF=776" "LOC110187340" "2L"
"1154" "ScA8VGg_542;HRSCAF=776" "LOC110187341" "2L"
"1155" "ScA8VGg_542;HRSCAF=776" "LOC110187337" "2L"
"1156" "ScA8VGg_542;HRSCAF=776" "LOC110187336" "2L"
"1157" "ScA8VGg_542;HRSCAF=776" "LOC110187334" "2L"
"1158" "ScA8VGg_542;HRSCAF=776" "LOC110187362" "2L"
"1159" "ScA8VGg_542;HRSCAF=776" "LOC110187371" "2L"
"1160" "ScA8VGg_542;HRSCAF=776" "LOC110187370" "2L"
"1161" "ScA8VGg_542;HRSCAF=776" "LOC110187359" "2L"
"1162" "ScA8VGg_542;HRSCAF=776" "LOC110187346" "2L"
"1163" "ScA8VGg_542;HRSCAF=776" "LOC110187347" "2L"
"1164" "ScA8VGg_542;HRSCAF=776" "LOC110187357" "2L"
"1165" "ScA8VGg_542;HRSCAF=776" "LOC110187358" "2L"
"1166" "ScA8VGg_542;HRSCAF=776" "LOC110187344" "2L"
"1167" "ScA8VGg_542;HRSCAF=776" "LOC110187343" "2L"
"1168" "ScA8VGg_542;HRSCAF=776" "LOC110187356" "2L"
"1169" "ScA8VGg_542;HRSCAF=776" "LOC110187369" "2L"
"1170" "ScA8VGg_542;HRSCAF=776" "LOC110187351" "2L"
"1171" "ScA8VGg_542;HRSCAF=776" "LOC110187368" "2L"
"1172" "ScA8VGg_542;HRSCAF=776" "LOC110187350" "2L"
"1173" "ScA8VGg_542;HRSCAF=776" "LOC110187349" "2L"
"1174" "ScA8VGg_542;HRSCAF=776" "LOC110187353" "2L"
"1175" "ScA8VGg_542;HRSCAF=776" "LOC110187352" "2L"
"1176" "ScA8VGg_542;HRSCAF=776" "LOC110187355" "2L"
"1177" "ScA8VGg_542;HRSCAF=776" "LOC110187367" "2L"
"1178" "ScA8VGg_542;HRSCAF=776" "LOC110187360" "2L"
"1179" "ScA8VGg_542;HRSCAF=776" "LOC110187365" "2L"
"1180" "ScA8VGg_542;HRSCAF=776" "LOC110177641" "2L"
"1181" "ScA8VGg_542;HRSCAF=776" "LOC110177642" "2L"
"1182" "ScA8VGg_542;HRSCAF=776" "LOC110177644" "2L"
"1183" "ScA8VGg_542;HRSCAF=776" "LOC110177643" "2L"
"1184" "ScA8VGg_542;HRSCAF=776" "LOC110182400" "2L"
"1185" "ScA8VGg_542;HRSCAF=776" "LOC110182406" "2L"
"1186" "ScA8VGg_542;HRSCAF=776" "LOC110182409" "2L"
"1187" "ScA8VGg_542;HRSCAF=776" "LOC110182403" "2L"
"1188" "ScA8VGg_542;HRSCAF=776" "LOC110182405" "2L"
"1189" "ScA8VGg_542;HRSCAF=776" "LOC110187303" "2L"
"1190" "ScA8VGg_542;HRSCAF=776" "LOC110187302" "2L"
"1191" "ScA8VGg_542;HRSCAF=776" "LOC110187307" "2L"
"1192" "ScA8VGg_542;HRSCAF=776" "LOC110187298" "2L"
"1193" "ScA8VGg_542;HRSCAF=776" "LOC110187296" "2L"
"1194" "ScA8VGg_542;HRSCAF=776" "LOC110187295" "2L"
"1195" "ScA8VGg_542;HRSCAF=776" "LOC110187305" "2L"
"1196" "ScA8VGg_542;HRSCAF=776" "LOC110187304" "2L"
"1197" "ScA8VGg_542;HRSCAF=776" "LOC110187326" "2L"
"1198" "ScA8VGg_542;HRSCAF=776" "LOC110187325" "2L"
"1199" "ScA8VGg_542;HRSCAF=776" "LOC110187312" "2L"
"1200" "ScA8VGg_542;HRSCAF=776" "LOC110187313" "2L"
"1201" "ScA8VGg_542;HRSCAF=776" "LOC110187323" "2L"
"1202" "ScA8VGg_542;HRSCAF=776" "LOC110187311" "2L"
"1203" "ScA8VGg_542;HRSCAF=776" "LOC110187316" "2L"
"1204" "ScA8VGg_542;HRSCAF=776" "LOC110187301" "2L"
"1205" "ScA8VGg_542;HRSCAF=776" "LOC110187290" "2L"
"1206" "ScA8VGg_542;HRSCAF=776" "LOC110187320" "2L"
"1207" "ScA8VGg_542;HRSCAF=776" "LOC110187322" "2L"
"1208" "ScA8VGg_542;HRSCAF=776" "LOC110187297" "2L"
"1209" "ScA8VGg_542;HRSCAF=776" "LOC110187293" "2L"
"1210" "ScA8VGg_542;HRSCAF=776" "LOC110187291" "2L"
"1211" "ScA8VGg_542;HRSCAF=776" "LOC110187294" "2L"
"1212" "ScA8VGg_542;HRSCAF=776" "LOC110187306" "2L"
"1213" "ScA8VGg_542;HRSCAF=776" "LOC110187317" "2L"
"1214" "ScA8VGg_542;HRSCAF=776" "LOC110187319" "2L"
"1215" "ScA8VGg_542;HRSCAF=776" "LOC110187315" "2L"
"1216" "ScA8VGg_542;HRSCAF=776" "LOC110187321" "2L"
"1217" "ScA8VGg_542;HRSCAF=776" "LOC110187285" "2L"
"1218" "ScA8VGg_542;HRSCAF=776" "LOC110187328" "2L"
"1219" "ScA8VGg_542;HRSCAF=776" "LOC110187289" "2L"
"1220" "ScA8VGg_542;HRSCAF=776" "LOC110187287" "2L"
"1221" "ScA8VGg_542;HRSCAF=776" "LOC110187308" "2L"
"1222" "ScA8VGg_542;HRSCAF=776" "LOC110187286" "2L"
"1223" "ScA8VGg_542;HRSCAF=776" "LOC110187309" "2L"
"1224" "ScA8VGg_542;HRSCAF=776" "LOC110187329" "2L"
"1225" "ScA8VGg_542;HRSCAF=776" "LOC110187331" "2L"
"1226" "ScA8VGg_542;HRSCAF=776" "LOC110187332" "2L"
"1227" "ScA8VGg_542;HRSCAF=776" "LOC110187333" "2L"
"1228" "ScA8VGg_542;HRSCAF=776" "LOC110177650" "2L"
"1229" "ScA8VGg_542;HRSCAF=776" "LOC110178540" "2L"
"1230" "ScA8VGg_542;HRSCAF=776" "LOC110178539" "2L"
"1231" "ScA8VGg_542;HRSCAF=776" "LOC110178542" "2L"
"1232" "ScA8VGg_542;HRSCAF=776" "LOC110178541" "2L"
"1233" "ScA8VGg_542;HRSCAF=776" "LOC110178435" "2L"
"1234" "ScA8VGg_542;HRSCAF=776" "LOC110178433" "2L"
"1235" "ScA8VGg_542;HRSCAF=776" "LOC110178432" "2L"
"1236" "ScA8VGg_542;HRSCAF=776" "LOC110178430" "2L"
"1237" "ScA8VGg_542;HRSCAF=776" "LOC110178438" "2L"
"1238" "ScA8VGg_542;HRSCAF=776" "LOC110178434" "2L"
"1239" "ScA8VGg_542;HRSCAF=776" "LOC110182290" "2L"
"1240" "ScA8VGg_542;HRSCAF=776" "LOC110182298" "2L"
"1241" "ScA8VGg_542;HRSCAF=776" "LOC110182259" "2L"
"1242" "ScA8VGg_542;HRSCAF=776" "LOC110182265" "2L"
"1243" "ScA8VGg_542;HRSCAF=776" "LOC110182263" "2L"
"1244" "ScA8VGg_542;HRSCAF=776" "LOC110182291" "2L"
"1245" "ScA8VGg_542;HRSCAF=776" "LOC110182289" "2L"
"1246" "ScA8VGg_542;HRSCAF=776" "LOC110182288" "2L"
"1247" "ScA8VGg_542;HRSCAF=776" "LOC110182266" "2L"
"1248" "ScA8VGg_542;HRSCAF=776" "LOC110182267" "2L"
"1249" "ScA8VGg_542;HRSCAF=776" "LOC110182275" "2L"
"1250" "ScA8VGg_542;HRSCAF=776" "LOC110182293" "2L"
"1251" "ScA8VGg_542;HRSCAF=776" "LOC110182276" "2L"
"1252" "ScA8VGg_542;HRSCAF=776" "LOC110182297" "2L"
"1253" "ScA8VGg_542;HRSCAF=776" "LOC110182287" "2L"
"1254" "ScA8VGg_542;HRSCAF=776" "LOC110182285" "2L"
"1255" "ScA8VGg_542;HRSCAF=776" "LOC110182271" "2L"
"1256" "ScA8VGg_542;HRSCAF=776" "LOC110182270" "2L"
"1257" "ScA8VGg_542;HRSCAF=776" "LOC110182274" "2L"
"1258" "ScA8VGg_542;HRSCAF=776" "LOC110182284" "2L"
"1259" "ScA8VGg_542;HRSCAF=776" "LOC110182249" "2L"
"1260" "ScA8VGg_542;HRSCAF=776" "LOC110182248" "2L"
"1261" "ScA8VGg_542;HRSCAF=776" "LOC110182294" "2L"
"1262" "ScA8VGg_542;HRSCAF=776" "LOC110182295" "2L"
"1263" "ScA8VGg_542;HRSCAF=776" "LOC110182296" "2L"
"1264" "ScA8VGg_542;HRSCAF=776" "LOC110182255" "2L"
"1265" "ScA8VGg_542;HRSCAF=776" "LOC110182257" "2L"
"1266" "ScA8VGg_542;HRSCAF=776" "LOC110182256" "2L"
"1267" "ScA8VGg_542;HRSCAF=776" "LOC110182253" "2L"
"1268" "ScA8VGg_542;HRSCAF=776" "LOC110182278" "2L"
"1269" "ScA8VGg_542;HRSCAF=776" "LOC110182283" "2L"
"1270" "ScA8VGg_542;HRSCAF=776" "LOC110182250" "2L"
"1271" "ScA8VGg_542;HRSCAF=776" "LOC110182281" "2L"
"1272" "ScA8VGg_542;HRSCAF=776" "LOC110182292" "2L"
"1273" "ScA8VGg_542;HRSCAF=776" "LOC110182246" "2L"
"1274" "ScA8VGg_542;HRSCAF=776" "LOC110182262" "2L"
"1275" "ScA8VGg_542;HRSCAF=776" "LOC110182261" "2L"
"1276" "ScA8VGg_542;HRSCAF=776" "LOC110182273" "2L"
"1277" "ScA8VGg_542;HRSCAF=776" "LOC110182245" "2L"
"1278" "ScA8VGg_542;HRSCAF=776" "LOC110182260" "2L"
"1279" "ScA8VGg_542;HRSCAF=776" "LOC110182252" "2L"
"1280" "ScA8VGg_542;HRSCAF=776" "LOC110182251" "2L"
"1281" "ScA8VGg_542;HRSCAF=776" "LOC110182279" "2L"
"1282" "ScA8VGg_542;HRSCAF=776" "LOC110182272" "2L"
"1283" "ScA8VGg_542;HRSCAF=776" "LOC110182268" "2L"
"1284" "ScA8VGg_542;HRSCAF=776" "LOC110182299" "2L"
"1285" "ScA8VGg_542;HRSCAF=776" "LOC110182277" "2L"
"1286" "ScA8VGg_542;HRSCAF=776" "LOC110182238" "2L"
"1287" "ScA8VGg_542;HRSCAF=776" "LOC110182237" "2L"
"1288" "ScA8VGg_542;HRSCAF=776" "LOC110178422" "2L"
"1289" "ScA8VGg_542;HRSCAF=776" "LOC110178421" "2L"
"1290" "ScA8VGg_542;HRSCAF=776" "LOC110178420" "2L"
"1291" "ScA8VGg_542;HRSCAF=776" "LOC110181148" "2L"
"1292" "ScA8VGg_542;HRSCAF=776" "LOC110181146" "2L"
"1293" "ScA8VGg_542;HRSCAF=776" "LOC110181144" "2L"
"1294" "ScA8VGg_542;HRSCAF=776" "LOC110181145" "2L"
"1295" "ScA8VGg_542;HRSCAF=776" "LOC110181152" "2L"
"1296" "ScA8VGg_542;HRSCAF=776" "LOC110181151" "2L"
"1297" "ScA8VGg_542;HRSCAF=776" "LOC110181153" "2L"
"1298" "ScA8VGg_542;HRSCAF=776" "LOC110181150" "2L"
"1299" "ScA8VGg_542;HRSCAF=776" "LOC110181142" "2L"
"1300" "ScA8VGg_542;HRSCAF=776" "LOC110181143" "2L"
"1301" "ScA8VGg_542;HRSCAF=776" "LOC110181149" "2L"
"1302" "ScA8VGg_542;HRSCAF=776" "LOC110181141" "2L"
"1303" "ScA8VGg_542;HRSCAF=776" "LOC110179146" "2L"
"1304" "ScA8VGg_542;HRSCAF=776" "LOC110179147" "2L"
"1305" "ScA8VGg_542;HRSCAF=776" "LOC110179145" "2L"
"1306" "ScA8VGg_542;HRSCAF=776" "LOC110181158" "2L"
"1307" "ScA8VGg_542;HRSCAF=776" "LOC110181154" "2L"
"1308" "ScA8VGg_542;HRSCAF=776" "LOC110181159" "2L"
"1309" "ScA8VGg_542;HRSCAF=776" "LOC110181155" "2L"
"1310" "ScA8VGg_542;HRSCAF=776" "LOC110182230" "2L"
"1311" "ScA8VGg_542;HRSCAF=776" "LOC110182229" "2L"
"1312" "ScA8VGg_542;HRSCAF=776" "LOC110182227" "2L"
"1313" "ScA8VGg_542;HRSCAF=776" "LOC110182232" "2L"
"1314" "ScA8VGg_542;HRSCAF=776" "LOC110182231" "2L"
"1315" "ScA8VGg_542;HRSCAF=776" "LOC110181300" "2L"
"1316" "ScA8VGg_542;HRSCAF=776" "LOC110181299" "2L"
"1317" "ScA8VGg_542;HRSCAF=776" "LOC110181298" "2L"
"1318" "ScA8VGg_542;HRSCAF=776" "LOC110181306" "2L"
"1319" "ScA8VGg_542;HRSCAF=776" "LOC110181307" "2L"
"1320" "ScA8VGg_542;HRSCAF=776" "LOC110181305" "2L"
"1321" "ScA8VGg_542;HRSCAF=776" "LOC110181296" "2L"
"1322" "ScA8VGg_542;HRSCAF=776" "LOC110181304" "2L"
"1323" "ScA8VGg_542;HRSCAF=776" "LOC110181303" "2L"
"1324" "ScA8VGg_542;HRSCAF=776" "LOC110181294" "2L"
"1325" "ScA8VGg_542;HRSCAF=776" "LOC110181293" "2L"
"1326" "ScA8VGg_542;HRSCAF=776" "LOC110181295" "2L"
"1327" "ScA8VGg_542;HRSCAF=776" "LOC110181291" "2L"
"1328" "ScA8VGg_542;HRSCAF=776" "LOC110181292" "2L"
"1329" "ScA8VGg_542;HRSCAF=776" "LOC110181302" "2L"
"1330" "ScA8VGg_542;HRSCAF=776" "LOC110181168" "2L"
"1331" "ScA8VGg_542;HRSCAF=776" "LOC110181160" "2L"
"1332" "ScA8VGg_542;HRSCAF=776" "LOC110181162" "2L"
"1333" "ScA8VGg_542;HRSCAF=776" "LOC110181163" "2L"
"1334" "ScA8VGg_542;HRSCAF=776" "LOC110181166" "2L"
"1335" "ScA8VGg_542;HRSCAF=776" "LOC110181165" "2L"
"1336" "ScA8VGg_542;HRSCAF=776" "LOC110181161" "2L"
"1337" "ScA8VGg_542;HRSCAF=776" "LOC110179401" "2L"
"1338" "ScA8VGg_542;HRSCAF=776" "LOC110179137" "2L"
"1339" "ScA8VGg_542;HRSCAF=776" "LOC110179139" "2L"
"1340" "ScA8VGg_542;HRSCAF=776" "LOC110181171" "2L"
"1341" "ScA8VGg_542;HRSCAF=776" "LOC110181173" "2L"
"1342" "ScA8VGg_542;HRSCAF=776" "LOC110181172" "2L"
"1343" "ScA8VGg_542;HRSCAF=776" "LOC110181174" "2L"
"1344" "ScA8VGg_542;HRSCAF=776" "LOC110181170" "2L"
"1345" "ScA8VGg_542;HRSCAF=776" "LOC110181169" "2L"
"1346" "ScA8VGg_542;HRSCAF=776" "LOC110179067" "2L"
"1347" "ScA8VGg_542;HRSCAF=776" "LOC110181203" "2L"
"1348" "ScA8VGg_542;HRSCAF=776" "LOC110181192" "2L"
"1349" "ScA8VGg_542;HRSCAF=776" "LOC110181184" "2L"
"1350" "ScA8VGg_542;HRSCAF=776" "LOC110181194" "2L"
"1351" "ScA8VGg_542;HRSCAF=776" "LOC110181180" "2L"
"1352" "ScA8VGg_542;HRSCAF=776" "LOC110181177" "2L"
"1353" "ScA8VGg_542;HRSCAF=776" "LOC110181181" "2L"
"1354" "ScA8VGg_542;HRSCAF=776" "LOC110181182" "2L"
"1355" "ScA8VGg_542;HRSCAF=776" "LOC110181179" "2L"
"1356" "ScA8VGg_542;HRSCAF=776" "LOC110181178" "2L"
"1357" "ScA8VGg_542;HRSCAF=776" "LOC110181209" "2L"
"1358" "ScA8VGg_542;HRSCAF=776" "LOC110181210" "2L"
"1359" "ScA8VGg_542;HRSCAF=776" "LOC110181207" "2L"
"1360" "ScA8VGg_542;HRSCAF=776" "LOC110181205" "2L"
"1361" "ScA8VGg_542;HRSCAF=776" "LOC110181211" "2L"
"1362" "ScA8VGg_542;HRSCAF=776" "LOC110181208" "2L"
"1363" "ScA8VGg_542;HRSCAF=776" "LOC110181201" "2L"
"1364" "ScA8VGg_542;HRSCAF=776" "LOC110181202" "2L"
"1365" "ScA8VGg_542;HRSCAF=776" "LOC110181197" "2L"
"1366" "ScA8VGg_542;HRSCAF=776" "LOC110181199" "2L"
"1367" "ScA8VGg_542;HRSCAF=776" "LOC110181189" "2L"
"1368" "ScA8VGg_542;HRSCAF=776" "LOC110181190" "2L"
"1369" "ScA8VGg_542;HRSCAF=776" "LOC110181183" "2L"
"1370" "ScA8VGg_542;HRSCAF=776" "LOC110181198" "2L"
"1371" "ScA8VGg_542;HRSCAF=776" "LOC110181185" "2L"
"1372" "ScA8VGg_542;HRSCAF=776" "LOC110181175" "2L"
"1373" "ScA8VGg_542;HRSCAF=776" "LOC110181191" "2L"
"1374" "ScA8VGg_542;HRSCAF=776" "LOC110181193" "2L"
"1375" "ScA8VGg_542;HRSCAF=776" "LOC110181188" "2L"
"1376" "ScA8VGg_542;HRSCAF=776" "LOC110181187" "2L"
"1377" "ScA8VGg_542;HRSCAF=776" "LOC110181212" "2L"
"1378" "ScA8VGg_542;HRSCAF=776" "LOC110181204" "2L"
"1379" "ScA8VGg_542;HRSCAF=776" "LOC110181200" "2L"
"1380" "ScA8VGg_542;HRSCAF=776" "LOC110179068" "2L"
"1381" "ScA8VGg_542;HRSCAF=776" "LOC110181213" "2L"
"1382" "ScA8VGg_542;HRSCAF=776" "LOC110180228" "2L"
"1383" "ScA8VGg_542;HRSCAF=776" "LOC110180229" "2L"
"1384" "ScA8VGg_542;HRSCAF=776" "LOC110180222" "2L"
"1385" "ScA8VGg_542;HRSCAF=776" "LOC110180221" "2L"
"1386" "ScA8VGg_542;HRSCAF=776" "LOC110180223" "2L"
"1387" "ScA8VGg_542;HRSCAF=776" "LOC110180312" "2L"
"1388" "ScA8VGg_542;HRSCAF=776" "LOC110182654" "2L"
"1389" "ScA8VGg_542;HRSCAF=776" "LOC110182676" "2L"
